customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,signup_month,cohort,churn
CUST_0001,11,58.06,631.39,4,2,Month-to-Month,Electronic Check,Middle Age,12,2022-12,1
CUST_0002,72,22.19,1615.05,4,0,Month-to-Month,Credit Card,Senior,3,2021-03,0
CUST_0003,31,61.76,1865.16,2,3,Month-to-Month,Mailed Check,Young Adult,5,2022-05,0
CUST_0004,21,88.27,1846.31,2,2,Month-to-Month,Bank Transfer,Middle Age,12,2023-12,1
CUST_0005,4,80.75,313.05,3,4,Month-to-Month,Electronic Check,Middle Age,1,2021-01,1
CUST_0006,4,78.56,323.48,3,4,One Year,Credit Card,Middle Age,5,2023-05,1
CUST_0007,1,64.4,81.04,1,2,Month-to-Month,Electronic Check,Young Adult,1,2023-01,1
CUST_0008,48,44.42,2160.15,1,1,Month-to-Month,Electronic Check,Young Adult,9,2023-09,0
CUST_0009,22,80.31,1778.7,2,3,One Year,Credit Card,Young Adult,2,2021-02,0
CUST_0010,29,53.31,1485.45,1,2,Month-to-Month,Bank Transfer,Young Adult,6,2022-06,1
CUST_0011,1,113.68,66.76,5,5,Month-to-Month,Bank Transfer,Young Adult,9,2021-09,1
CUST_0012,72,81.41,5834.2,4,3,Month-to-Month,Credit Card,Middle Age,3,2021-03,0
CUST_0013,42,58.39,2438.27,1,3,One Year,Credit Card,Middle Age,6,2021-06,0
CUST_0014,5,57.77,341.39,1,7,One Year,Bank Transfer,Middle Age,1,2021-01,1
CUST_0015,4,68.14,214.41,3,4,Month-to-Month,Electronic Check,Young Adult,7,2021-07,1
CUST_0016,4,65.21,242.97,5,2,Month-to-Month,Credit Card,Young Adult,2,2022-02,1
CUST_0017,8,92.34,786.37,1,4,Month-to-Month,Electronic Check,Senior,5,2022-05,1
CUST_0018,17,73.73,1238.42,4,3,One Year,Credit Card,Young Adult,5,2023-05,0
CUST_0019,13,55.37,742.83,1,3,Two Year,Electronic Check,Senior,12,2023-12,0
CUST_0020,8,107.81,855.5,2,6,Month-to-Month,Bank Transfer,Senior,1,2023-01,1
CUST_0021,22,70.99,1574.62,5,2,Month-to-Month,Electronic Check,Young Adult,11,2023-11,0
CUST_0022,3,85.38,244.72,1,0,Month-to-Month,Electronic Check,Senior,7,2022-07,0
CUST_0023,8,57.84,496.07,5,3,Month-to-Month,Electronic Check,Middle Age,4,2023-04,1
CUST_0024,10,77.26,695.35,1,3,One Year,Credit Card,Middle Age,4,2022-04,0
CUST_0025,14,76.22,1048.91,4,1,Month-to-Month,Bank Transfer,Senior,7,2023-07,0
CUST_0026,36,32.21,1174.39,4,3,Month-to-Month,Electronic Check,Middle Age,10,2021-10,0
CUST_0027,5,110.31,578.23,5,0,One Year,Electronic Check,Middle Age,1,2022-01,0
CUST_0028,17,95.81,1703.42,3,2,Month-to-Month,Bank Transfer,Middle Age,6,2022-06,1
CUST_0029,21,62.06,1283.71,3,4,One Year,Bank Transfer,Senior,1,2023-01,0
CUST_0030,1,47.95,121.92,2,6,Month-to-Month,Bank Transfer,Middle Age,6,2023-06,1
CUST_0031,22,76.95,1659.95,3,3,Month-to-Month,Bank Transfer,Young Adult,10,2021-10,0
CUST_0032,4,71.73,353.35,5,3,Two Year,Bank Transfer,Young Adult,2,2021-02,0
CUST_0033,1,77.11,117.98,3,0,One Year,Credit Card,Senior,10,2022-10,0
CUST_0034,71,73.83,5196.26,2,7,Month-to-Month,Credit Card,Young Adult,11,2023-11,0
CUST_0035,72,80.12,5783.99,1,3,One Year,Bank Transfer,Middle Age,1,2022-01,0
CUST_0036,39,98.95,3856.49,3,4,One Year,Electronic Check,Middle Age,8,2023-08,0
CUST_0037,8,81.36,682.16,5,5,One Year,Credit Card,Young Adult,7,2022-07,1
CUST_0038,2,49.01,86.86,5,2,One Year,Bank Transfer,Young Adult,2,2022-02,0
CUST_0039,27,97.25,2610.39,2,0,Month-to-Month,Credit Card,Young Adult,2,2023-02,0
CUST_0040,13,102.81,1404.98,2,1,Month-to-Month,Bank Transfer,Middle Age,5,2023-05,1
CUST_0041,3,120.0,355.06,4,1,One Year,Electronic Check,Senior,4,2021-04,0
CUST_0042,16,47.53,801.8,4,2,Month-to-Month,Electronic Check,Middle Age,12,2023-12,0
CUST_0043,1,74.86,63.59,4,2,One Year,Electronic Check,Middle Age,4,2022-04,0
CUST_0044,57,28.36,1699.85,1,3,Month-to-Month,Mailed Check,Middle Age,9,2023-09,0
CUST_0045,7,81.06,533.5,5,2,One Year,Mailed Check,Senior,11,2023-11,0
CUST_0046,26,59.04,1504.33,4,3,Month-to-Month,Electronic Check,Middle Age,1,2021-01,0
CUST_0047,8,108.47,943.99,5,3,Month-to-Month,Electronic Check,Young Adult,10,2023-10,1
CUST_0048,17,54.51,904.42,2,6,One Year,Electronic Check,Middle Age,9,2021-09,0
CUST_0049,18,36.22,732.01,1,4,One Year,Electronic Check,Senior,12,2021-12,0
CUST_0050,4,60.57,286.87,2,4,Month-to-Month,Electronic Check,Middle Age,3,2022-03,1
CUST_0051,72,30.49,2187.55,5,1,Month-to-Month,Electronic Check,Senior,8,2022-08,0
CUST_0052,35,85.02,2885.04,4,0,One Year,Bank Transfer,Young Adult,5,2022-05,0
CUST_0053,67,28.7,1921.93,2,4,Two Year,Bank Transfer,Senior,10,2023-10,0
CUST_0054,54,70.57,3815.86,3,2,Month-to-Month,Electronic Check,Young Adult,3,2023-03,0
CUST_0055,21,28.44,655.6,1,7,Month-to-Month,Bank Transfer,Young Adult,9,2022-09,1
CUST_0056,61,63.59,3958.41,5,3,Month-to-Month,Credit Card,Middle Age,9,2023-09,0
CUST_0057,2,102.87,171.49,4,1,Two Year,Electronic Check,Young Adult,8,2021-08,0
CUST_0058,5,77.21,426.11,2,1,Month-to-Month,Bank Transfer,Middle Age,3,2022-03,1
CUST_0059,1,52.73,91.0,1,4,Month-to-Month,Electronic Check,Senior,3,2023-03,1
CUST_0060,9,69.38,678.09,4,3,Month-to-Month,Electronic Check,Senior,10,2023-10,1
CUST_0061,11,70.36,798.89,2,4,One Year,Electronic Check,Middle Age,12,2021-12,0
CUST_0062,7,79.45,459.03,5,3,Two Year,Mailed Check,Middle Age,11,2022-11,0
CUST_0063,42,42.66,1783.95,3,2,Month-to-Month,Bank Transfer,Senior,10,2022-10,0
